Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
San Diego State University,San Diego,CA,92182,"Middle-Tier, Mixed-Aid Institutions",8290.0,20170.0,27357.0,0.3142,0.2314,0.7827,0.0,32.77498,-117.07424
University of San Diego,San Diego,CA,92110,"Elite, Low-Aid Institutions",56444.0,56444.0,74879.0,0.1935,0.3272,0.8158,0.0,32.76533,-117.19965
San Francisco Conservatory of Music,San Francisco,CA,94102,"Elite, Low-Aid Institutions",54550.0,54550.0,78209.0,0.1584,0.4751,0.5246,0.0,37.77956,-122.41931
San Francisco State University,San Francisco,CA,94132,"Middle-Tier, Mixed-Aid Institutions",7424.0,19304.0,25258.0,0.414,0.2543,0.5015,0.0,37.72219,-122.48475
University of San Francisco,San Francisco,CA,94117,"Elite, Low-Aid Institutions",58222.0,58222.0,76421.0,0.2722,0.4727,0.7113,0.0,37.77002,-122.44425
William Jessup University,Rocklin,CA,95765,"Elite, Low-Aid Institutions",37150.0,37150.0,52172.0,0.343,0.4731,0.6071,0.0,38.81982,-121.27772
San Jose State University,San Jose,CA,95192,"Middle-Tier, Mixed-Aid Institutions",7992.0,19872.0,25695.0,0.3545,0.2075,0.6465,0.0,,
Santa Clara University,Santa Clara,CA,95053,"Elite, Low-Aid Institutions",59241.0,59241.0,77768.0,0.1087,0.2445,0.8845,0.0,37.34848,-121.93737
Santa Monica College,Santa Monica,CA,90405,"Middle-Tier, Mixed-Aid Institutions",1156.0,9316.0,11353.0,0.2627,0.0197,0.3583,0.0,34.01208,-118.4679
Scripps College,Claremont,CA,91711,"Elite, Low-Aid Institutions",63434.0,63434.0,83330.0,0.1147,0.2285,0.8712,0.0,34.12836,-117.71523
Shasta College,Redding,CA,96003,"Middle-Tier, Mixed-Aid Institutions",1197.0,8277.0,11881.0,0.3662,0.0421,0.2913,0.0,40.66664,-122.31564
Simpson University,Redding,CA,96003,"High-Risk, High-Aid Institutions",38522.0,38522.0,52366.0,0.4221,0.5807,0.4167,0.0,40.66664,-122.31564
Skyline College,San Bruno,CA,94066,"Middle-Tier, Mixed-Aid Institutions",1332.0,11384.0,10461.0,0.1009,0.004,0.4141,0.0,37.62539,-122.43229
Saint Mary's College of California,Moraga,CA,94575,"Elite, Low-Aid Institutions",56134.0,56134.0,73655.0,0.2381,0.661,0.6899,0.0,37.84235,-122.11012
Solano Community College,Fairfield,CA,94534,"Middle-Tier, Mixed-Aid Institutions",1172.0,8900.0,11440.0,0.2081,0.0142,0.3377,0.0,38.24112,-122.12142
Sonoma State University,Rohnert Park,CA,94928,"Middle-Tier, Mixed-Aid Institutions",8190.0,20070.0,24739.0,0.3615,0.2701,0.6052,0.0,38.3459,-122.6935
