INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Gateway Technical College,Kenosha,WI,53144-1690,1,4853.0,7046.0,14604.0,8667.0,,,0.2224,0.1441,8000,12165,,,10072.0,4657.0,,,0.0,40264.0
The Professional Hair Design Academy,Eau Claire,WI,54701-7633,3,,,,,20720.0,11900.0,0.4019,0.3551,6650,PS,,,,75.0,,,0.013,29587.0
Lakeland University,Plymouth,WI,53073,2,32286.0,32286.0,45751.0,,22092.0,,0.2898,0.5501,19500,25000,0.9109,,7642.0,1230.0,0.5575,0.6652,0.0,55961.0
Lakeshore Technical College,Cleveland,WI,53015-1414,1,4649.0,6842.0,14163.0,8579.0,,,0.1829,0.1275,5250,7000,,,8586.0,1838.0,,,0.0,47113.0
Lawrence University,Appleton,WI,54911,2,55461.0,55461.0,67824.0,,24563.0,,0.2076,0.5989,19500,26000,0.6303,1349.0,8762.0,1394.0,0.7642,0.8709,0.0,55789.0
Maranatha Baptist University,Watertown,WI,53094,2,20280.0,20280.0,33496.0,,24659.0,,0.3397,0.2758,12375,14143,0.7087,1141.0,3822.0,566.0,0.6569,0.7568,0.0,45593.0
Marian University,Fond Du Lac,WI,54935-4699,2,33000.0,33000.0,40733.0,,23341.0,,0.3174,0.7828,17340,25000,0.6685,,8098.0,1050.0,0.4119,0.6233,0.0,53501.0
Marquette University,Milwaukee,WI,53233,2,48700.0,48700.0,63233.0,,29237.0,,0.1876,0.403,20500,23940,0.8744,1306.0,10830.0,7238.0,0.8006,0.9135,0.0,78257.0
Medical College of Wisconsin,Milwaukee,WI,53226-0509,2,,,,,,,,,PS,PS,,,,,,,0.0,
Mid-State Technical College,Wisconsin Rapids,WI,54494,1,4886.0,7016.0,15448.0,10724.0,,,0.2364,0.1749,5112,8000,,,8582.0,2031.0,,,0.0,42253.0
Milwaukee Area Technical College,Milwaukee,WI,53233-1443,1,5017.0,7210.0,17209.0,9589.0,,,0.4135,0.2786,9248,14955,,,11378.0,11362.0,,,0.0,41113.0
Milwaukee Institute of Art & Design,Milwaukee,WI,53202-6003,2,42268.0,42268.0,52646.0,,27514.0,,0.3638,0.7712,15750,27000,0.628,1155.0,6561.0,883.0,0.6327,0.8371,0.0,41174.0
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,2,48421.0,48421.0,60439.0,,24021.0,,0.2268,0.6105,24500,27000,0.6039,,10016.0,2607.0,0.7154,0.8318,0.0,89070.0
Moraine Park Technical College,Fond du Lac,WI,54936-1940,1,4713.0,6917.0,14095.0,9935.0,,,0.1965,0.3201,5500,8225,,,8700.0,2230.0,,,0.0,44371.0
Mount Mary University,Milwaukee,WI,53222-4597,2,34390.0,34390.0,47328.0,,18295.0,,0.5768,0.8156,19000,25288,0.9335,1050.0,6605.0,703.0,0.5887,0.6581,0.0,48745.0
Nashotah House,Nashotah,WI,53058-9793,2,,,,,,,,,PS,PS,,,5347.0,,,,0.0,
Nicolet Area Technical College,Rhinelander,WI,54501-0518,1,4724.0,6917.0,14084.0,9290.0,,,0.2513,0.1442,3500,7837,,,6423.0,706.0,,,0.0,38643.0
Northcentral Technical College,Wausau,WI,54401-1899,1,3861.0,5615.0,15897.0,11555.0,,,0.1667,0.1417,5250,7500,,,8850.0,3479.0,,,0.0,44925.0
Northeast Wisconsin Technical College,Green Bay,WI,54307-9042,1,4904.0,7097.0,15603.0,10506.0,,,0.1657,0.1104,8887,11719,,,7352.0,5853.0,,,0.0,44553.0
Northland College,Ashland,WI,54806-3999,2,42491.0,42491.0,54375.0,,20780.0,,0.3185,0.6602,15500,25450,0.7181,1153.0,6757.0,457.0,0.4332,0.7131,0.0,44560.0
Ripon College,Ripon,WI,54971-0248,2,50700.0,50700.0,61495.0,,21176.0,,0.3329,0.7389,19500,27000,0.8392,1143.0,7904.0,720.0,0.5991,0.7551,0.004,54902.0
Sacred Heart Seminary and School of Theology,Franklin,WI,53132,2,,,,,,,,,,,,,7080.0,,,,,
Saint Norbert College,De Pere,WI,54115-2099,2,44432.0,44432.0,56194.0,,25674.0,,0.1358,0.4519,21500,26731,0.9215,1233.0,9064.0,1749.0,0.7357,0.8214,0.0,58363.0
State College of Beauty Culture Inc,Wausau,WI,54403,3,,,,,10994.0,14900.0,0.3375,0.25,5500,5606,,,,44.0,,,0.0,28037.0
Southwest Wisconsin Technical College,Fennimore,WI,53809-9778,1,4796.0,6989.0,15282.0,10277.0,,,0.1975,0.175,5500,7500,,,8439.0,1277.0,,,0.0,43470.0
